category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
CMS/Snapshots,bots,0.2.6,ACF6191886D134AC3330835FBCDA751F23846003E8BCBC15924A8F3E54219BEC,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/bots-ACF6191886D134AC3330835FBCDA751F23846003E8BCBC15924A8F3E54219BEC,16804,16779847.9446193,86400,
Localization,store-sections,0.0.383,F0CB2AE8BA92A88587A2DC439EB19130B5314C1A859F3F2A0A32901F8C309CE1,PortalWars2/Saved/PersistentDownloadDir/Localization/store-sections-F0CB2AE8BA92A88587A2DC439EB19130B5314C1A859F3F2A0A32901F8C309CE1,3505,16777386.9819667,86400,
Localization,challenge-schedule,0.0.90,E0FD9A67270EBE4520532B5F50FFA2D9F8987DD1766DB5435D88F54ECDAE4353,PortalWars2/Saved/PersistentDownloadDir/Localization/challenge-schedule-E0FD9A67270EBE4520532B5F50FFA2D9F8987DD1766DB5435D88F54ECDAE4353,4147,16777387.2089482,86400,
Localization,challenge-templates,0.0.103,0AB61B5D5869E703D8FB527483BA705182640B4281E5475E1506D313ACD64FCA,PortalWars2/Saved/PersistentDownloadDir/Localization/challenge-templates-0AB61B5D5869E703D8FB527483BA705182640B4281E5475E1506D313ACD64FCA,146057,16777387.2994246,86400,
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_ShottySnipersPowersEvent.png,2559599,16777429.5206487,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_ShottySnipersPowersEvent.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_ClassicTakedown_01.png,2652381,16777517.4558166,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_ClassicTakedown_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/96a72c8e-89ae-57b4-907e-370610e8b47d.png,258831,16778117.1013896,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/96a72c8e-89ae-57b4-907e-370610e8b47d
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_SplitCoin-1.png,322602,16778117.2545101,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_SplitCoin-1.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_Upgrade-1.png,368210,16778117.2873437,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_Upgrade-1.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_SplitCoin-2.png,483803,16778117.3331822,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_SplitCoin-2.png
