relative_seconds,direction,src,src_port,dst,dst_port,udp_payload_bytes,captured_frame_bytes
281.299661,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,150,192
281.302995,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,73,115
281.314012,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,24,66
281.314663,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,120,162
281.326130,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.332717,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,143,185
281.341324,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.348287,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,150,192
281.353253,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,156,198
281.365147,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.365750,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,137,179
281.381320,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.382267,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,190,232
281.400064,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,138,180
281.400551,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.416336,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,196,238
281.419672,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,102,144
281.432705,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.433540,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,90,132
281.443947,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.450318,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,158,200
281.466299,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,102,144
281.466893,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,134,176
281.476344,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.483571,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,117,159
281.485224,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.496461,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.501059,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,147,189
281.506356,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.517118,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.517969,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,138,180
281.528479,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,72,114
281.533822,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,60,102
281.548401,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.549418,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,136,178
281.559648,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.567393,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,106,148
281.571562,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.582551,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,87,129
281.583385,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,38,80
281.595972,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.600182,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,113,155
281.615763,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,130,172
281.616502,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,100,142
281.626744,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.632901,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
281.636839,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.645847,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.649163,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,118,160
281.656054,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,100,142
281.666680,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,96,138
281.679100,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,100,142
281.682695,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,75,117
281.691666,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.700430,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,125,167
281.701630,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.716789,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,142,184
281.724142,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.734277,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,73,115
281.734735,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.744839,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.750415,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,158,200
281.755130,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.766939,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.767622,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,96,138
281.777691,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.784158,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,77,119
281.799985,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.802851,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,134,176
281.809606,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.818535,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,99,141
281.823189,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,88,130
281.834547,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.836319,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,93,135
281.846495,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.852021,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,131,173
281.868787,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,51,93
281.870550,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,123,165
281.881037,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.885359,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,77,119
281.892893,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,220,262
281.902912,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,118,160
281.903284,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.913907,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.917748,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,109,151
281.924428,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.936423,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,101,143
281.938553,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,798,840
281.952188,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,217,259
281.952987,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,61,103
281.964262,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.973082,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,84,126
281.986528,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.987939,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,77,119
281.999917,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.003003,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,131,173
282.012485,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.019131,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,192,234
282.035139,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,70,112
282.035261,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.045524,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.051463,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,130,172
282.062959,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.069401,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,131,173
282.082679,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.084547,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,79,121
282.099000,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.102281,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,150,192
282.118697,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,103,145
282.119215,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.132140,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.136644,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,73,115
282.150023,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.152154,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,134,176
282.159259,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.169813,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,162,204
282.180368,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.185775,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,76,118
282.192275,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.204173,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,137,179
282.217793,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.220740,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,95,137
282.227592,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.237379,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,78,120
282.250153,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.253997,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,137,179
282.265152,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.271062,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,95,137
282.278283,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.287025,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,71,113
282.295271,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.304203,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,131,173
282.315430,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,24,66
282.319441,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
282.326577,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.337038,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,73,115
282.346370,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.353472,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,130,172
282.366697,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.371507,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,123,165
282.377394,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.387137,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,75,117
282.398714,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.404262,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,124,166
282.420139,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.421520,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,110,152
282.430254,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.437480,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,55,97
282.451913,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.455132,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,107,149
282.462087,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.471497,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,81,123
282.482439,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.486983,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,53,95
282.492965,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.504849,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
282.512801,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.521122,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,82,124
282.533792,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.538307,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,63,105
282.544140,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.554170,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,120,162
282.566648,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.571951,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,87,129
282.587647,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.588690,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,52,94
282.597498,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.605121,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
282.621257,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,130,172
282.621413,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.632112,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.639180,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,58,100
282.654619,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.655672,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,125,167
282.665308,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.672147,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,74,116
282.686263,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.688433,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,87,129
282.697351,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.705764,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
282.718415,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.721492,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,76,118
282.728909,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.739414,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,51,93
282.752906,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.755042,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,102,144
282.763037,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.772594,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,88,130
282.786303,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.788421,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,52,94
282.798424,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.806803,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,105,147
282.821429,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,24,66
282.822085,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,106,148
282.832695,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.839145,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,55,97
282.843946,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.855007,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,103,145
282.870264,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.873898,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,85,127
282.888601,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,46,88
282.890905,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.902374,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.906818,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,120,162
282.914129,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.921418,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,83,125
282.935843,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.940169,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,45,87
282.946437,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
282.955093,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,96,138
282.968061,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.973653,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,134,176
282.979986,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
282.989027,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,40,82
283.003241,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
283.007539,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,97,139
283.014136,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
283.021910,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,64,106
283.037435,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
283.040913,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,99,141
